Id	Satisfaction (1-5)
1	4
2	4
3	5
4	5
5	5
6	2
7	3
8	1
9	2
10	3
11	4
12	3
13	3
14	5
15	2
16	2
17	4
18	2
19	4
20	2
21	5
22	5
23	2
24	1
25	3
26	2
27	3
28	1
29	4
30	1
31	5
32	3
33	2
34	5
35	2
36	4
37	3
38	1
39	2
40	2
41	5
42	5
43	5
44	2
45	3
46	2
47	4
48	4
49	1
50	5
51	3
52	1
53	4
54	3
55	3
56	1
57	2
58	1
59	5
60	4
61	2
62	1
63	3
64	5
65	5
66	4
67	2
68	4
69	2
70	1
71	5
72	4
73	4
74	5
75	1
76	1
77	4
78	2
79	1
80	5
81	4
82	4
83	3
84	5
85	5
86	5
87	4
88	1
89	5
90	2
91	1
92	5
93	1
94	5
95	5
96	4
97	2
98	1
99	4
100	3
101	2
102	5
103	2
104	3
105	5
106	2
107	1
108	3
109	3
110	4
111	1
112	3
113	3
114	5
115	1
116	4
117	5
118	5
119	4
120	5
121	1
122	2
123	4
124	5
125	1
126	2
127	1
128	3
129	4
130	4
131	3
132	4
133	5
134	4
135	4
136	5
137	3
138	2
139	4
140	2
141	2
142	2
143	4
144	4
145	4
146	3
147	2
148	2
149	2
150	3
151	3
152	2
153	4
154	1
155	1
156	3
157	5
158	2
159	2
160	4
161	2
162	1
163	5
164	1
165	5
166	2
167	5
168	5
169	4
170	4
171	3
172	1
173	5
174	1
175	3
176	5
177	4
178	4
179	1
180	1
181	2
182	2
183	3
184	1
185	3
186	1
187	4
188	2
189	5
190	1
191	4
192	3
193	2
194	2
195	1
196	3
197	3
198	1
199	1
200	5
201	4
202	2
203	4
204	2
205	3
206	1
207	4
208	1
209	1
210	2
211	3
212	1
213	5
214	4
215	1
216	2
217	4
218	2
219	2
220	3
221	4
222	4
223	3
224	1
225	4
226	5
227	1
228	4
229	4
230	2
231	1
232	2
233	4
234	3
235	2
236	1
237	2
238	4
239	2
240	5
241	2
242	5
243	1
244	4
245	4
246	4
247	3
248	5
249	1
250	3
251	1
252	2
253	3
254	4
255	1
256	1
257	2
258	3
259	1
260	4
261	5
262	2
263	5
264	4
265	2
266	1
267	3
268	4
269	3
270	5
271	2
272	5
273	1
274	2
275	3
276	4
277	1
278	2
279	3
280	2
281	3
282	4
283	2
284	1
285	5
286	3
287	2
288	5
289	2
290	1
291	4
292	5
293	3
294	3
295	4
296	4
297	2
298	2
299	2
300	2
301	4
302	2
303	1
304	4
305	5
306	1
307	2
308	4
309	4
310	2
311	2
312	4
313	3
314	1
315	2
316	1
317	5
318	3
319	3
320	4
321	3
322	1
323	2
324	5
325	2
326	2
327	3
328	2
329	4
330	3
331	4
332	2
333	1
334	4
335	2
336	4
337	2
338	4
339	1
340	5
341	2
342	5
343	4
344	3
345	1
346	4
347	1
348	3
349	1
350	4
351	2
352	1
353	4
354	4
355	1
356	1
357	4
358	4
359	2
360	3
361	3
362	5
363	5
364	2
365	3
366	4
367	4
368	4
369	4
370	3
